date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:54:37	190/190	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Apr%202023%2003:54:44%20GMT	https://themewagon.com/robots.txt		(from )
03:54:46	111557/111557	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Apr%202023%2003:54:44%20GMT	https://themewagon.com/themes/industro/	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/themes/industro/index.html	(from )
03:54:47	6275/6275	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634f9d89-1883%22	https://themewagon.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js	(from https://themewagon.com/themes/industro/)
03:54:48	850/850	---MC-	200	added ('OK')	text/javascript	date:Tue,%2025%20Apr%202023%2003:54:54%20GMT	https://www.google.com/recaptcha/api.js	O:/VS%20CODE/https___themewagon.com_themes_industro_/www.google.com/recaptcha/api.js	(from https://themewagon.com/themes/industro/)
03:54:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2003:54:56%20GMT	https://widget.freshworks.com/widgets/69000001641.js	O:/VS%20CODE/https___themewagon.com_themes_industro_/widget.freshworks.com/widgets/69000001641.2.delayed	(from https://themewagon.com/themes/industro/)
03:54:50	8991/8991	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e26ae08a9e7602dce24ac7c251c2a686%22	https://widget.freshworks.com/widgetBase/bootstrap.js	O:/VS%20CODE/https___themewagon.com_themes_industro_/widget.freshworks.com/widgetBase/bootstrap.js	(from https://themewagon.com/themes/industro/)
03:54:51	1066/1066	---M--	200	added ('OK')	image/png	etag:%22608e652c-42a%22	https://themewagon.com/wp-content/plugins/woodiscuz-woocommerce-comments/files/img/x.png	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-content/plugins/woodiscuz-woocommerce-comments/files/img/x.png	(from https://themewagon.com/themes/industro/)
03:54:52	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%22638d8ad0-172a9%22	https://themewagon.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://themewagon.com/themes/industro/)
03:54:52	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%2263f2046a-28c3%22	https://themewagon.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=9.4.4	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style556e.css	(from https://themewagon.com/themes/industro/)
03:54:53	1193/1193	---MC-	200	added ('OK')	application/rss+xml	etag:%22ddcb8f738f2725a6bba43717926d6055%22	https://themewagon.com/themes/industro/feed/	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/themes/industro/feed/index.html	(from https://themewagon.com/themes/industro/)
03:54:53	255142/255142	---MCZ	200	added ('OK')	text/css	etag:W/%2263f2046a-3e4a6%22	https://themewagon.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=9.4.4	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style556e.css	(from https://themewagon.com/themes/industro/)
03:54:53	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%2263621d92-d9%22	https://themewagon.com/wp-includes/css/classic-themes.min.css?ver=1	O:/VS%20CODE/https___themewagon.com_themes_industro_/themewagon.com/wp-includes/css/classic-themes.min68b3.css	(from https://themewagon.com/themes/industro/)
